Date,Q1,Q2,Q3,Q4
2015-11-13,32, 34, 21, 20
2015-12-30,32, 29, 35, 30
2015-10-29,25, 22, 26, 22
2015-11-01,29, 32, 32, 34
2015-11-02,30, 21, 17, 27
2015-11-05,30, 35, 37, 19
2015-11-08,25, 23, 28, 22
2015-11-09,30, 28, 21, 16
2015-11-11,26, 18, 26, 30
2015-11-15,28, 39, 29, 16
2015-11-16,34, 40, 41, 21
2015-11-21,28, 26, 31, 16
2015-11-23,28, 24, 18, 21
2015-11-25,30, 31, 30, 23
2015-11-26,31, 34, 27, 19
2015-11-28,28, 21, 25, 32
2015-11-30,21, 32, 29, 22
2015-12-02,24, 32, 17, 25
2015-12-04,22, 31, 27, 32
2015-12-06,28, 33, 18, 33
2015-12-08,25, 23, 31, 23
2015-12-10,23, 23, 27, 32
2015-12-13,39, 27, 21, 18
2015-12-14,28, 32, 29, 22
2015-12-16,30, 19, 20, 29
2015-12-18,32, 33, 29, 20
2015-12-22,36, 28, 29, 35
2015-12-23,24, 24, 25, 32
2015-12-25,20, 22, 28, 16
2015-12-27,31, 27, 30, 22
2016-01-31,18, 37, 27, 34
2016-01-30,34, 39, 18, 17
2016-01-02,37, 26, 27, 12
2016-01-04,32, 30, 33, 16
2016-01-05,37, 25, 30, 17
2016-01-08,38, 36, 32, 22
2016-01-09,26, 34, 36, 32
2016-01-11,27, 29, 24, 31
2016-01-13,25, 29, 19, 37
2016-01-14,24, 28, 34, 30
2016-01-16,30, 19, 25, 21
2016-01-18,34, 36, 34, 28
2016-01-20,34, 29, 24, 38
2016-01-22,32, 32, 24, 34
2016-01-25,29, 33, 33, 25
2016-01-27,32, 24, 39, 32
2016-02-03,43, 31, 29, 31
2016-02-06,36, 37, 18, 25
2016-02-09,42, 27, 24, 30
2016-02-10,29, 28, 34, 21
2016-02-19,31, 31, 17, 26
2016-02-20,33, 30, 30, 22
2016-02-22,30, 28, 18, 26
2016-02-24,21, 30, 29, 38
2016-02-25,33, 26, 40, 31
2016-02-27,20, 26, 32, 25
2016-03-01,32, 27, 16, 22
2016-03-03,29, 34, 19, 39
2016-03-06,21, 28, 24, 22
2016-03-07,31, 28, 35, 25
2016-03-09,23, 29, 29, 34
2016-03-11,40, 41, 29, 18
2016-03-12,31, 29, 26, 37
