Date,Q1,Q2,Q3,Q4
2015-11-12,15, 27, 34, 33
2015-11-03,19, 21, 22, 23
2015-11-21,27, 26, 21, 18
2015-11-28,30, 29, 23, 23
2015-12-05,31, 26, 25, 21
2015-11-04,30, 22, 18, 18
2015-11-23,20, 27, 19, 20
2015-12-18,40, 23, 26, 20
2015-10-30,28, 13, 21, 28
2015-12-19,20, 32, 30, 22
2015-12-14,41, 29, 19, 23
2015-12-31,30, 34, 36, 28
2015-11-09,24, 28, 15, 34
2015-12-16,34, 27, 20, 23
2015-12-11,18, 29, 31, 25
2015-11-14,30, 18, 18, 16
2015-12-07,25, 23, 29, 19
2015-11-11,22, 16, 26, 14
2015-12-09,26, 35, 26, 27
2015-12-28,26, 32, 30, 19
2015-11-16,19, 14, 18, 14
2015-11-07,19, 21, 22, 27
2015-12-02,26, 26, 22, 30
2015-12-21,28, 20, 33, 18
2015-12-25,29, 21, 26, 38
2015-12-26,33, 26, 22, 17
2015-11-01,29, 26, 21, 26
2015-11-19,26, 23, 25, 26
2015-12-12,39, 31, 23, 18
2015-10-29,34, 20, 23, 12
2015-11-18,23, 19, 17, 22
2015-11-26,31, 25, 18, 23
2015-12-23,26, 17, 30, 25
2016-01-24,28, 24, 25, 29
2016-01-26,38, 23, 27, 25
2016-02-06,31, 28, 24, 25
2016-02-27,30, 27, 26, 20
2016-03-03,28, 33, 22, 23
2016-03-02,37, 21, 27, 13
2016-03-09,39, 25, 29, 27
2016-01-08,32, 28, 30, 27
2016-02-08,28, 29, 32, 33
2016-01-04,33, 33, 16, 22
2016-02-21,28, 25, 20, 19
2016-02-19,24, 27, 25, 22
2016-03-06,32, 32, 20, 20
2016-01-13,30, 35, 18, 25
2016-01-22,27, 21, 37, 24
2016-02-24,33, 25, 29, 29
2016-01-29,22, 33, 34, 27
2016-01-06,25, 31, 27, 29
2016-02-11,29, 33, 33, 26
2016-02-25,32, 32, 23, 32
2016-03-12,22, 27, 19, 17
2016-01-02,34, 32, 21, 22
2016-01-20,30, 22, 36, 21
2016-01-17,24, 20, 31, 24
2016-02-03,32, 34, 30, 21
2016-02-01,36, 28, 28, 22
2016-01-19,25, 32, 27, 26
2016-01-12,32, 28, 20, 21
2016-01-15,31, 26, 25, 31
2016-01-27,28, 34, 29, 35
2016-03-11,21, 32, 20, 23
2016-01-10,27, 19, 39, 25
