Date,Q1,Q2,Q3,Q4
2015-12-02,30, 20, 30, 29
2015-12-05,16, 36, 26, 20
2015-11-08,20, 28, 27, 28
2015-11-10,17, 21, 26, 27
2015-12-10,25, 22, 21, 27
2015-10-29,22, 30, 19, 31
2015-11-26,24, 37, 27, 27
2015-12-23,31, 19, 31, 26
2015-11-18,20, 32, 31, 26
2015-12-15,28, 22, 23, 20
2015-11-15,25, 18, 26, 25
2015-12-17,26, 39, 30, 32
2015-12-30,26, 25, 27, 31
2015-11-21,29, 21, 24, 25
2015-11-01,27, 24, 19, 32
2015-12-08,28, 32, 25, 23
2015-12-26,22, 20, 16, 19
2015-12-27,21, 18, 27, 24
2015-12-22,25, 27, 30, 23
2015-12-20,32, 20, 22, 30
2015-11-28,19, 22, 21, 38
2015-11-05,15, 24, 23, 30
2015-11-07,29, 21, 28, 19
2015-11-12,32, 25, 25, 18
2015-11-14,35, 27, 24, 28
2015-11-25,22, 19, 27, 38
2015-11-29,28, 36, 20, 21
2015-12-03,27, 28, 33, 24
2015-12-07,32, 25, 20, 19
2015-12-12,29, 11, 24, 23
2015-12-13,23, 25, 24, 27
2016-01-16,27, 28, 29, 30
2016-01-03,21, 24, 31, 21
2016-01-05,20, 29, 22, 30
2016-01-07,22, 39, 36, 29
2016-02-03,27, 31, 30, 36
2016-03-10,21, 27, 27, 21
2016-02-22,15, 24, 36, 17
2016-03-01,26, 22, 22, 27
2016-01-27,23, 22, 21, 17
2016-03-05,25, 25, 30, 27
2016-03-04,26, 28, 20, 32
2016-01-23,23, 16, 25, 31
2016-01-21,20, 24, 19, 25
2016-01-09,30, 34, 25, 31
2016-02-10,28, 25, 38, 22
2016-02-26,26, 25, 28, 24
2016-01-28,24, 20, 31, 17
2016-02-05,26, 24, 23, 29
2016-03-13,30, 22, 37, 15
2016-01-15,28, 23, 25, 19
2016-02-20,29, 21, 18, 26
2016-02-01,27, 26, 33, 26
2016-03-12,18, 31, 22, 24
2016-01-13,19, 17, 22, 26
2016-01-18,24, 27, 21, 26
2016-01-20,29, 19, 26, 30
2016-01-25,31, 35, 24, 29
2016-01-31,17, 17, 28, 25
2016-02-07,19, 22, 19, 34
2016-02-08,30, 24, 29, 18
2016-02-19,19, 33, 29, 30
2016-02-28,25, 21, 22, 19
2016-03-08,16, 25, 25, 25
