Date,Q1,Q2,Q3,Q4
2015-10-29,23, 18, 31, 33
2015-12-26,28, 28, 23, 30
2015-11-01,33, 26, 22, 21
2015-11-03,32, 27, 26, 31
2015-11-05,21, 27, 18, 25
2015-11-07,30, 25, 31, 24
2015-11-09,24, 26, 31, 23
2015-11-12,29, 34, 21, 20
2015-11-13,36, 19, 20, 24
2015-11-15,15, 24, 27, 21
2015-11-17,21, 22, 21, 19
2015-11-19,24, 25, 23, 23
2015-11-21,21, 28, 22, 23
2015-11-22,18, 18, 28, 23
2015-11-26,32, 17, 23, 27
2015-11-30,22, 20, 21, 21
2015-12-02,27, 22, 28, 21
2015-12-03,19, 21, 28, 20
2015-12-05,18, 13, 24, 20
2015-12-08,25, 24, 18, 21
2015-12-10,25, 26, 17, 12
2015-12-12,22, 22, 19, 25
2015-12-13,32, 20, 33, 29
2015-12-16,25, 20, 21, 25
2015-12-17,30, 22, 21, 16
2015-12-19,33, 16, 22, 20
2015-12-21,28, 25, 30, 27
2015-12-23,30, 28, 18, 26
2015-12-27,23, 24, 18, 20
2015-12-29,27, 30, 25, 25
2015-12-30,24, 31, 29, 12
2016-01-02,31, 25, 25, 19
2016-01-04,22, 20, 26, 26
2016-01-06,17, 19, 20, 18
2016-01-08,17, 21, 24, 15
2016-01-09,23, 23, 20, 23
2016-01-11,20, 18, 18, 23
2016-01-13,29, 25, 20, 36
2016-01-15,23, 26, 30, 25
2016-01-16,23, 25, 20, 18
2016-01-18,29, 20, 35, 16
2016-01-20,17, 21, 17, 23
2016-01-22,23, 17, 17, 29
2016-01-24,30, 30, 25, 31
2016-01-26,29, 28, 16, 25
2016-01-29,18, 21, 16, 24
2016-01-30,22, 29, 15, 37
2016-02-01,26, 31, 18, 25
2016-02-03,23, 20, 34, 23
2016-02-05,33, 32, 38, 25
2016-02-06,12, 27, 25, 34
2016-02-08,26, 29, 26, 24
2016-02-10,27, 18, 18, 27
2016-02-19,23, 27, 34, 25
2016-02-21,26, 22, 25, 23
2016-02-23,21, 28, 33, 22
2016-02-25,34, 32, 24, 26
2016-02-27,20, 28, 22, 28
2016-03-01,19, 31, 24, 27
2016-03-04,31, 32, 27, 22
2016-03-05,30, 21, 28, 39
2016-03-08,23, 35, 22, 19
2016-03-11,21, 24, 22, 22
2016-03-13,25, 26, 28, 21
