Date,Q1,Q2,Q3,Q4
2015-10-29,32, 35, 34, 20
2015-11-01,22, 16, 24, 28
2015-11-03,19, 22, 38, 34
2015-11-05,35, 22, 29, 21
2015-11-07,30, 25, 18, 28
2015-11-08,20, 36, 27, 23
2015-11-12,24, 27, 21, 22
2015-11-14,31, 28, 42, 20
2015-11-17,31, 23, 34, 26
2015-11-19,22, 24, 27, 28
2015-11-21,16, 25, 29, 30
2015-11-23,23, 26, 23, 16
2015-11-28,35, 25, 31, 11
2015-11-30,22, 27, 24, 16
2015-12-02,42, 24, 19, 20
2015-12-03,21, 21, 19, 27
2015-12-05,30, 23, 33, 27
2015-12-07,24, 29, 24, 24
2015-12-08,29, 16, 31, 34
2015-12-10,16, 29, 21, 21
2015-12-12,19, 27, 23, 26
2015-12-15,30, 27, 31, 17
2015-12-17,29, 27, 22, 31
2015-12-19,27, 26, 30, 31
2015-12-21,21, 21, 19, 23
2015-12-23,9, 21, 30, 35
2015-12-26,29, 27, 30, 21
2015-12-27,12, 27, 24, 25
2015-12-31,23, 26, 28, 29
2016-01-02,29, 26, 16, 26
2016-01-04,37, 19, 23, 24
2016-01-06,33, 22, 20, 19
2016-01-07,27, 20, 16, 29
2016-01-10,34, 19, 23, 22
2016-01-12,27, 22, 32, 33
2016-01-13,28, 29, 21, 25
2016-01-15,36, 32, 28, 21
2016-01-16,24, 30, 29, 36
2016-01-18,16, 23, 33, 26
2016-01-20,27, 35, 28, 19
2016-01-22,34, 30, 26, 20
2016-01-24,30, 28, 36, 18
2016-01-25,22, 31, 31, 32
2016-01-27,29, 26, 31, 25
2016-01-29,26, 32, 28, 27
2016-01-31,32, 22, 27, 33
2016-02-02,21, 24, 25, 27
2016-02-03,27, 29, 22, 24
2016-02-05,20, 23, 22, 39
2016-02-07,46, 28, 21, 33
2016-02-09,30, 24, 20, 37
2016-02-10,33, 38, 27, 24
2016-02-19,24, 25, 23, 21
2016-02-21,35, 29, 27, 30
2016-02-22,23, 30, 31, 38
2016-02-25,35, 27, 26, 24
2016-02-27,18, 28, 26, 29
2016-03-02,30, 31, 30, 25
2016-03-04,27, 26, 28, 24
2016-03-05,35, 19, 29, 20
2016-03-09,24, 28, 31, 33
2016-03-11,23, 20, 30, 25
