Date,Q1,Q2,Q3,Q4
2015-12-10,22, 18, 33, 23
2015-12-13,17, 25, 17, 28
2015-11-02,21, 29, 30, 13
2015-12-05,31, 26, 28, 18
2015-12-19,37, 29, 19, 24
2015-11-15,23, 23, 22, 19
2015-11-28,24, 31, 25, 21
2015-11-24,23, 30, 17, 22
2015-11-09,25, 26, 13, 28
2015-11-14,14, 33, 27, 29
2015-12-17,31, 30, 26, 19
2015-12-03,24, 16, 31, 24
2015-12-15,17, 28, 23, 20
2015-11-19,28, 21, 17, 20
2015-10-29,25, 21, 22, 32
2015-12-23,28, 26, 34, 20
2015-12-29,18, 14, 29, 22
2015-11-17,24, 19, 18, 19
2015-12-31,25, 20, 23, 15
2015-11-01,15, 15, 16, 23
2015-12-12,21, 24, 27, 20
2015-11-04,21, 27, 17, 26
2015-11-07,22, 25, 23, 27
2015-11-29,17, 11, 23, 24
2015-11-05,24, 22, 26, 24
2015-11-11,35, 29, 21, 15
2015-11-21,27, 24, 28, 21
2015-11-23,22, 22, 28, 21
2015-11-26,26, 30, 20, 21
2015-12-20,31, 21, 32, 20
2015-12-22,28, 30, 26, 26
2015-12-26,24, 16, 16, 19
2015-12-27,18, 24, 26, 26
2016-02-21,29, 26, 31, 18
2016-01-23,20, 25, 32, 20
2016-03-02,32, 26, 25, 36
2016-01-01,28, 27, 27, 12
2016-01-04,24, 30, 23, 24
2016-01-09,18, 28, 18, 19
2016-01-31,21, 37, 25, 18
2016-01-06,32, 20, 33, 17
2016-03-01,35, 33, 30, 28
2016-01-25,16, 30, 42, 27
2016-02-08,38, 19, 30, 21
2016-02-03,23, 26, 33, 24
2016-02-24,24, 28, 24, 27
2016-03-11,38, 31, 19, 30
2016-02-10,25, 35, 29, 28
2016-02-26,29, 24, 24, 19
2016-03-04,31, 24, 25, 28
2016-01-16,29, 19, 23, 21
2016-02-19,28, 24, 18, 28
2016-03-12,34, 28, 28, 35
2016-01-15,34, 15, 32, 26
2016-03-09,39, 32, 28, 23
2016-01-13,20, 25, 35, 27
2016-02-28,9, 23, 25, 19
2016-01-02,22, 32, 22, 14
2016-01-10,26, 30, 21, 15
2016-01-18,29, 23, 21, 22
2016-01-20,22, 23, 25, 25
2016-01-22,30, 25, 24, 30
2016-01-27,18, 13, 20, 22
2016-01-29,25, 20, 24, 22
2016-02-05,31, 16, 26, 22
2016-02-06,25, 23, 30, 30
2016-03-07,23, 24, 35, 26
