Date,Q1,Q2,Q3,Q4
2015-11-08,25, 16, 26, 34
2015-11-28,24, 30, 31, 24
2015-11-30,25, 22, 29, 26
2015-12-10,20, 31, 26, 28
2015-12-30,31, 14, 24, 13
2015-10-29,24, 29, 31, 20
2015-12-18,30, 22, 21, 30
2015-11-07,33, 24, 35, 26
2015-11-13,25, 20, 35, 20
2015-12-22,33, 27, 20, 49
2015-12-06,22, 27, 31, 22
2015-11-17,21, 27, 31, 26
2015-12-25,27, 31, 25, 30
2015-11-20,29, 18, 21, 20
2015-10-31,27, 25, 17, 29
2015-11-01,27, 36, 22, 21
2015-11-04,24, 30, 15, 29
2015-11-05,23, 26, 23, 23
2015-11-10,27, 33, 18, 24
2015-11-15,20, 22, 23, 25
2015-11-21,21, 22, 22, 22
2015-11-24,30, 26, 22, 19
2015-11-25,21, 28, 27, 33
2015-12-02,26, 21, 27, 34
2015-12-03,26, 19, 27, 30
2015-12-12,24, 35, 23, 33
2015-12-14,14, 25, 33, 21
2015-12-15,22, 22, 20, 22
2015-12-19,20, 31, 22, 30
2015-12-23,21, 25, 24, 29
2015-12-27,23, 26, 31, 27
2015-12-29,22, 25, 34, 11
2016-01-07,21, 27, 26, 27
2016-01-22,23, 26, 33, 19
2016-01-01,34, 22, 21, 31
2016-01-14,22, 24, 31, 27
2016-01-03,26, 22, 33, 34
2016-02-19,24, 28, 37, 27
2016-01-20,18, 26, 19, 31
2016-01-31,22, 25, 26, 20
2016-01-28,32, 26, 32, 24
2016-02-21,31, 31, 35, 29
2016-02-03,34, 26, 20, 27
2016-01-05,36, 31, 27, 23
2016-01-09,19, 32, 32, 22
2016-01-11,25, 23, 26, 26
2016-01-12,29, 22, 26, 24
2016-01-15,22, 24, 15, 16
2016-01-18,26, 30, 27, 28
2016-01-23,21, 23, 28, 24
2016-01-25,23, 24, 21, 16
2016-02-01,26, 25, 17, 25
2016-02-05,26, 31, 32, 21
2016-02-06,21, 34, 29, 21
2016-02-08,20, 22, 23, 26
2016-02-10,29, 19, 25, 17
2016-02-18,19, 23, 22, 31
2016-02-24,28, 29, 32, 20
2016-02-26,21, 23, 23, 21
2016-02-27,21, 20, 32, 22
2016-03-01,30, 32, 20, 29
2016-03-02,23, 27, 17, 22
2016-03-05,29, 26, 28, 25
2016-03-07,25, 22, 26, 27
2016-03-10,27, 20, 27, 27
2016-03-11,31, 27, 23, 15
