Date,Q1,Q2,Q3,Q4
2015-11-14,25, 34, 25, 38
2015-12-08,22, 28, 35, 25
2015-12-19,26, 28, 20, 21
2015-10-30,25, 19, 20, 26
2015-12-04,25, 25, 18, 22
2015-11-22,34, 20, 17, 22
2015-12-05,30, 21, 25, 29
2015-12-09,26, 29, 26, 24
2015-10-31,28, 30, 20, 20
2015-11-04,34, 16, 19, 13
2015-11-05,23, 25, 27, 25
2015-11-07,38, 20, 27, 25
2015-11-10,24, 27, 34, 33
2015-11-15,41, 30, 30, 26
2015-11-17,26, 26, 23, 22
2015-11-19,20, 27, 22, 21
2015-11-21,21, 21, 23, 13
2015-11-24,26, 30, 25, 25
2015-11-26,31, 27, 23, 32
2015-11-29,29, 23, 35, 22
2015-12-02,30, 22, 27, 32
2015-12-11,26, 21, 19, 28
2015-12-12,33, 26, 17, 38
2015-12-15,34, 20, 26, 17
2015-12-17,34, 26, 15, 23
2015-12-21,22, 30, 25, 28
2015-12-23,27, 37, 32, 29
2015-12-25,27, 22, 25, 17
2015-12-26,27, 22, 22, 27
2015-12-28,28, 19, 14, 19
2015-12-30,25, 16, 32, 28
2015-12-31,18, 29, 7, 26
2016-02-05,32, 17, 24, 30
2016-03-05,22, 33, 36, 29
2016-01-20,23, 28, 22, 18
2016-01-10,26, 22, 27, 20
2016-01-04,33, 25, 32, 32
2016-02-26,31, 18, 28, 20
2016-01-18,21, 23, 23, 31
2016-01-21,28, 31, 29, 27
2016-03-13,21, 37, 33, 23
2016-02-10,35, 29, 29, 27
2016-03-10,33, 31, 31, 25
2016-01-27,23, 32, 32, 28
2016-02-08,31, 30, 30, 29
2016-03-09,28, 26, 35, 31
2016-01-23,14, 25, 19, 25
2016-02-18,26, 22, 30, 28
2016-01-02,29, 26, 26, 23
2016-01-06,24, 38, 33, 26
2016-01-08,35, 27, 33, 30
2016-01-12,22, 25, 20, 28
2016-01-14,32, 18, 23, 22
2016-01-15,23, 23, 22, 23
2016-01-25,32, 27, 24, 31
2016-01-29,33, 33, 30, 18
2016-01-30,37, 29, 26, 25
2016-02-01,33, 27, 15, 21
2016-02-03,23, 35, 17, 22
2016-02-06,28, 26, 20, 25
2016-02-21,27, 35, 33, 20
2016-02-22,28, 21, 19, 20
2016-02-24,23, 40, 25, 26
2016-02-28,28, 26, 16, 29
2016-03-04,27, 32, 24, 25
2016-03-07,25, 24, 25, 29
