Date,Q1,Q2,Q3,Q4
2015-11-03,40, 27, 24, 27
2015-11-26,19, 27, 25, 24
2015-12-16,36, 18, 27, 26
2015-11-13,38, 35, 22, 28
2015-11-29,28, 30, 32, 20
2015-11-28,26, 22, 23, 35
2015-12-13,18, 26, 24, 30
2015-11-21,38, 30, 42, 30
2015-12-26,26, 22, 24, 30
2015-12-05,27, 30, 29, 20
2015-12-23,26, 19, 29, 41
2015-11-11,14, 34, 30, 28
2015-12-02,25, 34, 21, 28
2015-12-17,32, 21, 30, 34
2015-11-24,24, 26, 28, 22
2015-12-03,29, 28, 23, 27
2015-12-07,32, 27, 31, 35
2015-10-28,24, 29, 20, 27
2015-10-30,36, 33, 24, 27
2015-11-01,32, 34, 20, 23
2015-11-06,24, 26, 18, 19
2015-11-07,24, 28, 26, 27
2015-11-09,20, 24, 23, 29
2015-11-15,28, 35, 38, 30
2015-11-17,32, 35, 21, 19
2015-11-19,23, 31, 22, 29
2015-11-22,29, 22, 17, 24
2015-12-09,37, 25, 17, 26
2015-12-10,25, 22, 30, 35
2015-12-20,21, 21, 33, 24
2015-12-22,18, 20, 25, 39
2015-12-28,33, 31, 17, 31
2015-12-30,27, 36, 26, 25
2016-01-18,29, 23, 18, 28
2016-01-29,25, 26, 20, 20
2016-02-21,28, 38, 29, 34
2016-01-27,22, 26, 29, 30
2016-03-07,24, 28, 16, 22
2016-01-26,32, 24, 21, 15
2016-01-31,21, 30, 17, 23
2016-01-05,27, 22, 29, 20
2016-03-03,24, 21, 24, 32
2016-01-15,18, 18, 23, 24
2016-01-12,25, 27, 20, 23
2016-03-09,28, 24, 22, 22
2016-03-12,23, 28, 24, 30
2016-01-08,18, 21, 36, 20
2016-01-01,10, 35, 16, 21
2016-01-02,25, 22, 19, 32
2016-01-06,22, 27, 22, 29
2016-01-10,22, 26, 20, 25
2016-01-13,20, 22, 22, 25
2016-01-17,16, 20, 20, 27
2016-01-20,23, 26, 15, 25
2016-01-22,25, 31, 18, 32
2016-01-24,29, 29, 27, 19
2016-02-01,15, 31, 27, 24
2016-02-03,21, 25, 19, 25
2016-02-05,12, 14, 34, 30
2016-02-06,25, 29, 25, 23
2016-02-09,29, 29, 29, 23
2016-02-19,13, 38, 30, 17
2016-02-24,24, 27, 30, 22
2016-02-26,20, 24, 32, 32
2016-02-28,39, 26, 34, 29
2016-03-01,35, 34, 27, 25
2016-03-06,19, 31, 29, 27
