Date,Q1,Q2,Q3,Q4
2015-12-23,27, 27, 23, 19
2015-11-16,31, 8, 35, 19
2015-12-08,30, 22, 29, 21
2015-12-28,24, 30, 33, 15
2015-12-19,29, 30, 12, 38
2015-11-23,21, 20, 31, 14
2015-12-30,29, 17, 25, 32
2015-11-26,30, 34, 22, 26
2015-11-28,33, 33, 33, 23
2015-11-03,22, 24, 31, 28
2015-11-05,19, 35, 18, 37
2015-11-25,31, 25, 30, 28
2015-11-07,20, 25, 26, 30
2015-11-17,24, 29, 28, 25
2015-10-29,23, 19, 23, 24
2015-11-14,30, 34, 28, 16
2015-12-20,15, 17, 23, 21
2015-12-13,31, 17, 25, 23
2015-12-17,29, 31, 18, 21
2015-11-21,31, 28, 27, 31
2015-12-14,22, 12, 27, 30
2015-12-07,21, 15, 30, 18
2015-12-22,18, 22, 17, 25
2015-12-10,22, 26, 31, 23
2015-12-05,28, 18, 23, 20
2015-11-01,17, 16, 23, 35
2015-11-09,27, 29, 17, 27
2015-11-12,28, 22, 28, 35
2015-11-19,27, 27, 34, 19
2015-12-01,26, 36, 21, 20
2015-12-02,31, 25, 29, 18
2015-12-26,26, 27, 26, 27
2016-01-27,21, 24, 26, 32
2016-02-21,17, 32, 29, 23
2016-02-08,22, 27, 29, 26
2016-03-04,25, 32, 33, 22
2016-02-07,31, 29, 17, 24
2016-03-08,31, 29, 22, 28
2016-02-01,28, 32, 20, 32
2016-01-02,13, 34, 30, 25
2016-01-13,32, 23, 28, 29
2016-02-24,23, 30, 18, 16
2016-03-02,27, 30, 26, 34
2016-03-10,25, 30, 27, 34
2016-02-19,24, 33, 20, 33
2016-02-23,25, 25, 27, 33
2016-02-05,30, 25, 18, 42
2016-01-23,26, 19, 39, 20
2016-02-10,20, 32, 23, 28
2016-01-17,30, 24, 30, 45
2016-01-30,27, 24, 32, 16
2016-02-26,28, 28, 24, 28
2016-03-06,22, 35, 20, 29
2016-01-08,30, 7, 29, 18
2016-01-21,23, 25, 29, 24
2016-01-25,30, 20, 26, 29
2016-01-10,36, 17, 28, 14
2016-01-15,31, 31, 16, 17
2016-01-28,29, 35, 27, 26
2016-03-12,27, 25, 23, 41
2016-01-03,22, 34, 24, 26
2016-01-06,21, 21, 24, 12
2016-01-19,31, 22, 26, 25
2016-02-03,23, 23, 17, 18
