Date,Q1,Q2,Q3,Q4
2015-12-03,23, 20, 15, 30
2015-11-01,25, 22, 28, 15
2015-12-21,18, 33, 27, 27
2015-11-05,25, 24, 26, 23
2015-12-06,28, 23, 31, 18
2015-12-19,31, 21, 18, 30
2015-11-30,24, 16, 31, 22
2015-11-26,27, 24, 22, 25
2015-12-15,27, 17, 19, 28
2015-12-02,19, 26, 20, 31
2015-11-19,19, 24, 21, 22
2015-12-12,28, 27, 20, 30
2015-12-13,23, 20, 24, 28
2015-11-10,21, 23, 26, 21
2015-12-28,17, 33, 27, 26
2015-10-29,21, 19, 23, 16
2015-10-30,21, 23, 21, 26
2015-11-07,27, 24, 25, 22
2015-11-09,21, 31, 27, 17
2015-11-12,34, 25, 26, 18
2015-11-14,21, 21, 25, 15
2015-11-15,16, 34, 14, 24
2015-11-17,28, 24, 24, 17
2015-11-21,25, 15, 24, 25
2015-11-25,31, 17, 19, 19
2015-11-28,29, 16, 24, 19
2015-12-07,33, 22, 20, 19
2015-12-09,22, 24, 16, 24
2015-12-17,30, 21, 22, 33
2015-12-26,32, 25, 36, 26
2015-12-30,20, 34, 26, 29
2016-01-06,24, 24, 18, 33
2016-02-03,16, 20, 24, 35
2016-01-09,33, 23, 16, 31
2016-02-01,28, 26, 24, 27
2016-02-04,27, 33, 18, 33
2016-03-05,21, 21, 28, 19
2016-01-27,12, 32, 30, 36
2016-02-24,33, 32, 20, 26
2016-03-12,27, 25, 38, 35
2016-01-30,17, 30, 25, 35
2016-02-08,24, 19, 22, 24
2016-02-28,23, 29, 37, 25
2016-01-16,27, 38, 20, 28
2016-01-18,32, 21, 26, 22
2016-01-29,27, 31, 20, 28
2016-02-22,33, 23, 19, 21
2016-01-02,20, 22, 17, 23
2016-01-04,31, 26, 31, 27
2016-01-12,25, 19, 22, 33
2016-01-14,24, 19, 28, 30
2016-01-20,33, 23, 29, 38
2016-01-21,27, 26, 24, 22
2016-01-23,32, 22, 20, 27
2016-01-25,22, 26, 21, 26
2016-02-06,22, 26, 33, 23
2016-02-10,22, 31, 18, 21
2016-02-19,15, 25, 21, 25
2016-02-21,25, 30, 20, 31
2016-02-27,34, 25, 21, 22
2016-03-02,26, 25, 14, 16
2016-03-06,30, 28, 27, 38
2016-03-09,26, 28, 22, 26
2016-03-11,32, 21, 28, 22
