Date,Q1,Q2,Q3,Q4
2015-11-01,37, 20, 24, 23
2015-11-24,27, 24, 18, 22
2015-11-03,32, 23, 24, 25
2015-11-14,19, 28, 16, 25
2015-11-08,29, 27, 13, 18
2015-12-10,30, 16, 30, 17
2015-11-28,24, 20, 28, 13
2015-10-28,31, 31, 23, 23
2015-11-19,23, 28, 24, 17
2015-12-06,35, 25, 20, 20
2015-11-26,37, 20, 20, 25
2015-12-11,16, 20, 25, 34
2015-11-29,28, 25, 32, 32
2015-11-22,29, 31, 17, 18
2015-10-29,27, 31, 17, 29
2015-11-04,30, 27, 26, 25
2015-11-06,18, 27, 36, 17
2015-11-12,28, 25, 31, 29
2015-11-16,24, 18, 9, 18
2015-11-17,18, 24, 24, 27
2015-12-03,34, 24, 36, 11
2015-12-05,33, 22, 28, 22
2015-12-13,21, 33, 26, 28
2015-12-17,25, 30, 20, 24
2015-12-18,22, 17, 29, 22
2015-12-20,26, 14, 34, 23
2015-12-22,37, 36, 23, 14
2015-12-26,24, 26, 29, 25
2015-12-28,33, 22, 29, 22
2015-12-29,27, 18, 22, 36
2015-12-31,23, 24, 29, 26
2016-03-11,19, 27, 31, 25
2016-03-09,21, 40, 32, 25
2016-03-06,26, 25, 26, 36
2016-02-09,27, 39, 27, 17
2016-01-18,21, 31, 28, 42
2016-01-17,32, 28, 34, 18
2016-02-04,19, 37, 32, 23
2016-02-19,21, 35, 25, 35
2016-03-05,23, 20, 32, 25
2016-01-15,21, 14, 16, 26
2016-01-20,23, 24, 32, 35
2016-01-10,28, 20, 16, 29
2016-01-22,31, 26, 22, 23
2016-01-24,36, 14, 34, 31
2016-01-02,27, 28, 17, 31
2016-01-04,28, 20, 21, 24
2016-01-07,22, 17, 33, 31
2016-01-12,22, 29, 21, 35
2016-01-13,23, 34, 24, 26
2016-01-25,32, 26, 35, 19
2016-01-27,29, 20, 24, 26
2016-01-29,29, 29, 25, 25
2016-01-30,32, 30, 26, 34
2016-02-02,31, 29, 27, 28
2016-02-06,23, 13, 17, 26
2016-02-10,29, 17, 35, 22
2016-02-23,23, 28, 32, 23
2016-02-25,28, 21, 37, 33
2016-02-27,11, 20, 26, 37
2016-03-02,25, 28, 23, 24
2016-03-12,19, 38, 30, 22
