Date,Q1,Q2,Q3,Q4
2015-11-07,26, 26, 23, 23
2015-12-27,22, 28, 29, 31
2015-10-29,26, 22, 30, 25
2015-12-12,20, 22, 30, 22
2015-12-10,25, 24, 16, 31
2015-12-17,27, 24, 21, 28
2015-12-15,34, 26, 29, 21
2015-11-22,27, 21, 16, 19
2015-12-02,28, 28, 23, 20
2015-12-05,20, 25, 27, 24
2015-11-15,23, 23, 23, 30
2015-12-29,17, 18, 30, 25
2015-11-29,21, 28, 22, 26
2015-12-26,26, 27, 29, 27
2015-11-01,18, 26, 19, 29
2015-11-04,19, 19, 23, 20
2015-11-05,24, 17, 20, 23
2015-11-08,14, 21, 30, 25
2015-11-10,17, 30, 25, 25
2015-11-12,24, 17, 22, 18
2015-11-14,27, 19, 21, 20
2015-11-19,20, 23, 22, 23
2015-11-24,25, 30, 30, 26
2015-11-26,27, 28, 21, 24
2015-11-28,26, 21, 25, 26
2015-12-04,14, 19, 26, 23
2015-12-08,18, 25, 21, 28
2015-12-13,23, 15, 28, 19
2015-12-20,21, 12, 22, 18
2015-12-21,20, 32, 23, 25
2015-12-23,24, 20, 26, 26
2015-12-31,20, 22, 36, 28
2016-01-13,24, 25, 27, 18
2016-02-03,26, 36, 25, 27
2016-02-24,28, 24, 28, 28
2016-01-22,18, 33, 24, 35
2016-01-26,25, 26, 21, 17
2016-02-08,23, 23, 18, 25
2016-01-12,25, 27, 28, 36
2016-01-19,25, 19, 27, 26
2016-01-23,25, 20, 25, 27
2016-02-01,26, 23, 30, 17
2016-01-02,24, 17, 23, 30
2016-02-06,34, 28, 25, 25
2016-01-04,29, 18, 27, 21
2016-01-06,22, 15, 29, 29
2016-01-08,16, 22, 30, 23
2016-01-10,24, 26, 27, 16
2016-01-15,27, 19, 26, 32
2016-01-17,30, 36, 25, 35
2016-01-28,27, 24, 31, 29
2016-01-30,35, 24, 21, 19
2016-02-05,29, 22, 21, 24
2016-02-10,25, 18, 27, 25
2016-02-19,24, 20, 23, 34
2016-02-21,20, 27, 33, 25
2016-02-22,25, 19, 25, 19
2016-02-26,26, 24, 20, 25
2016-02-28,27, 27, 23, 25
2016-03-02,22, 27, 24, 31
2016-03-04,30, 20, 32, 19
2016-03-05,31, 25, 22, 22
2016-03-07,25, 20, 28, 26
2016-03-12,26, 29, 28, 29
2016-03-13,17, 21, 18, 19
