Date,Q1,Q2,Q3,Q4
2015-12-31,29, 21, 24, 25
2015-12-27,26, 23, 29, 20
2015-11-05,20, 22, 33, 29
2015-12-25,18, 23, 32, 27
2015-10-30,22, 24, 24, 23
2015-10-31,31, 31, 24, 32
2015-11-02,19, 32, 23, 18
2015-11-03,26, 30, 17, 34
2015-11-08,33, 20, 26, 27
2015-11-10,20, 22, 28, 15
2015-11-15,27, 27, 42, 24
2015-11-17,18, 32, 14, 25
2015-11-19,26, 30, 28, 30
2015-11-20,39, 19, 30, 22
2015-11-23,21, 19, 32, 19
2015-11-24,31, 25, 22, 35
2015-11-26,25, 23, 24, 32
2015-11-28,26, 30, 29, 17
2015-11-29,35, 27, 28, 22
2015-12-01,31, 34, 36, 26
2015-12-03,31, 26, 27, 30
2015-12-06,34, 20, 39, 27
2015-12-08,28, 32, 29, 23
2015-12-10,33, 21, 28, 21
2015-12-12,21, 21, 25, 29
2015-12-13,28, 14, 29, 35
2015-12-15,29, 26, 31, 27
2015-12-17,30, 22, 26, 24
2015-12-19,20, 23, 31, 32
2015-12-20,28, 22, 32, 24
2015-12-22,33, 27, 30, 28
2015-12-23,25, 32, 26, 21
2015-12-29,25, 23, 29, 24
2016-02-10,37, 27, 27, 31
2016-01-22,31, 24, 31, 30
2016-03-11,29, 32, 15, 25
2016-01-02,31, 38, 34, 27
2016-02-08,22, 27, 16, 23
2016-01-24,34, 15, 22, 23
2016-02-20,20, 33, 31, 28
2016-01-06,31, 32, 22, 24
2016-01-09,27, 16, 27, 27
2016-01-10,19, 37, 28, 17
2016-01-13,17, 28, 34, 25
2016-01-16,30, 30, 19, 24
2016-01-18,33, 26, 35, 28
2016-01-21,31, 19, 22, 30
2016-01-26,25, 21, 28, 17
2016-01-27,17, 26, 21, 21
2016-01-29,28, 26, 24, 27
2016-01-31,24, 27, 33, 36
2016-02-03,27, 28, 19, 28
2016-02-05,28, 27, 22, 30
2016-02-07,15, 31, 27, 27
2016-02-18,21, 21, 30, 33
2016-02-22,36, 23, 31, 34
2016-02-24,19, 20, 23, 19
2016-02-26,30, 34, 34, 19
2016-03-02,24, 14, 30, 35
2016-03-05,37, 18, 24, 18
2016-03-07,23, 27, 33, 26
2016-03-09,29, 33, 21, 25
2016-03-13,19, 22, 27, 22
