Date,Q1,Q2,Q3,Q4
2015-12-05,20, 28, 22, 26
2015-11-30,27, 31, 23, 28
2015-11-01,35, 20, 31, 18
2015-11-16,23, 32, 24, 36
2015-12-23,34, 29, 32, 20
2015-10-31,22, 34, 34, 21
2015-10-28,19, 26, 24, 21
2015-10-29,19, 31, 23, 26
2015-11-04,24, 22, 29, 31
2015-11-09,18, 24, 34, 31
2015-11-11,21, 31, 23, 27
2015-11-12,25, 23, 24, 30
2015-11-14,22, 13, 22, 23
2015-11-18,31, 36, 24, 23
2015-11-19,21, 28, 21, 28
2015-11-21,27, 32, 24, 23
2015-11-23,19, 20, 36, 11
2015-11-26,26, 25, 23, 19
2015-11-28,30, 28, 38, 23
2015-12-02,19, 27, 35, 25
2015-12-03,33, 19, 17, 26
2015-12-07,16, 24, 19, 28
2015-12-09,24, 22, 32, 20
2015-12-12,25, 29, 32, 15
2015-12-14,22, 27, 22, 29
2015-12-15,15, 12, 31, 33
2015-12-19,26, 24, 23, 30
2015-12-21,23, 37, 20, 21
2015-12-25,24, 23, 30, 16
2015-12-26,19, 23, 20, 36
2015-12-28,28, 28, 25, 26
2015-12-30,33, 29, 21, 28
2016-03-01,24, 34, 21, 28
2016-03-13,11, 24, 25, 27
2016-01-01,21, 19, 22, 31
2016-01-05,25, 22, 13, 28
2016-01-14,23, 26, 23, 26
2016-03-06,22, 38, 24, 28
2016-01-29,29, 20, 22, 22
2016-01-03,25, 18, 38, 16
2016-01-07,21, 27, 38, 29
2016-01-08,28, 25, 32, 28
2016-01-10,14, 16, 20, 24
2016-01-12,15, 23, 29, 28
2016-01-16,18, 18, 23, 23
2016-01-17,36, 21, 18, 20
2016-01-20,18, 34, 25, 16
2016-01-22,22, 21, 28, 24
2016-01-23,22, 30, 24, 27
2016-01-26,25, 33, 20, 12
2016-01-28,15, 25, 31, 20
2016-01-31,16, 27, 17, 22
2016-02-02,27, 39, 26, 27
2016-02-04,26, 33, 20, 20
2016-02-06,20, 31, 30, 21
2016-02-08,22, 16, 21, 28
2016-02-10,25, 22, 27, 37
2016-02-19,30, 19, 26, 38
2016-02-21,30, 28, 23, 34
2016-02-22,19, 29, 17, 36
2016-02-24,26, 32, 26, 35
2016-02-26,25, 25, 21, 24
2016-03-02,29, 31, 22, 25
2016-03-04,19, 17, 23, 18
2016-03-08,20, 25, 39, 23
2016-03-10,31, 24, 27, 26
