Date,Q1,Q2,Q3,Q4
2015-11-21,25, 30, 27, 35
2015-12-13,21, 22, 25, 41
2015-11-19,20, 28, 27, 17
2015-12-16,24, 33, 23, 25
2015-11-23,26, 27, 35, 19
2015-11-11,25, 31, 27, 24
2015-11-26,21, 25, 34, 19
2015-11-05,26, 20, 30, 26
2015-11-13,16, 30, 30, 35
2015-11-30,28, 30, 16, 23
2015-12-19,22, 21, 23, 31
2015-12-21,19, 22, 29, 21
2015-11-15,25, 26, 18, 26
2015-11-08,23, 28, 21, 20
2015-12-09,34, 22, 36, 22
2015-11-17,34, 31, 32, 22
2015-12-03,28, 18, 22, 28
2015-12-26,31, 26, 24, 23
2015-10-29,25, 28, 28, 24
2015-11-01,23, 13, 15, 20
2015-11-03,20, 20, 24, 29
2015-11-07,22, 27, 17, 25
2015-11-28,23, 29, 31, 29
2015-12-05,14, 32, 22, 33
2015-12-07,28, 27, 27, 21
2015-12-12,26, 21, 22, 23
2015-12-17,34, 18, 21, 19
2015-12-22,22, 21, 25, 23
2015-12-27,27, 30, 15, 31
2015-12-30,30, 22, 22, 21
2016-01-10,16, 22, 30, 33
2016-03-09,26, 29, 12, 29
2016-02-10,22, 28, 39, 20
2016-01-16,28, 24, 21, 30
2016-02-05,24, 26, 19, 22
2016-02-21,20, 23, 21, 21
2016-02-24,36, 31, 30, 31
2016-02-26,32, 35, 23, 22
2016-02-27,18, 28, 30, 30
2016-03-06,24, 35, 15, 26
2016-01-30,36, 29, 27, 29
2016-03-02,31, 28, 24, 21
2016-03-07,33, 25, 24, 24
2016-01-14,21, 27, 31, 24
2016-01-28,23, 27, 26, 27
2016-02-06,30, 22, 28, 22
2016-01-12,24, 20, 25, 22
2016-01-02,25, 20, 24, 15
2016-01-04,17, 21, 32, 21
2016-01-06,16, 20, 29, 29
2016-01-08,29, 20, 18, 24
2016-01-18,24, 25, 23, 29
2016-01-21,37, 18, 24, 23
2016-01-23,25, 21, 28, 27
2016-01-25,31, 33, 16, 20
2016-02-01,22, 32, 23, 33
2016-02-08,27, 22, 29, 24
2016-02-19,28, 23, 25, 33
2016-03-04,19, 30, 18, 27
2016-03-11,20, 28, 25, 26
2016-03-12,22, 19, 17, 25
