Date,Q1,Q2,Q3,Q4
2015-12-21,28, 24, 20, 28
2015-11-17,19, 19, 32, 25
2015-12-16,33, 22, 21, 19
2015-11-30,21, 21, 21, 23
2015-11-01,32, 28, 27, 27
2015-12-23,32, 25, 21, 9
2015-11-02,31, 33, 23, 20
2015-11-25,36, 26, 24, 11
2015-11-20,15, 25, 26, 27
2015-12-09,28, 18, 27, 30
2015-12-14,18, 14, 16, 27
2015-12-25,30, 32, 15, 24
2015-11-12,26, 16, 16, 17
2015-12-31,24, 27, 19, 25
2015-11-16,23, 23, 13, 25
2015-12-05,30, 20, 21, 14
2015-11-09,29, 26, 28, 22
2015-11-04,31, 24, 22, 14
2015-12-07,26, 22, 27, 12
2015-12-27,16, 25, 28, 26
2015-11-14,23, 29, 27, 24
2015-12-03,18, 29, 25, 30
2015-11-05,17, 27, 18, 27
2015-11-23,23, 30, 14, 27
2015-10-29,22, 31, 19, 35
2015-11-08,29, 24, 27, 22
2015-11-22,22, 27, 19, 31
2015-12-01,22, 27, 17, 20
2015-12-10,21, 27, 14, 20
2015-12-12,29, 33, 16, 22
2015-12-17,16, 25, 18, 28
2015-12-19,25, 30, 24, 24
2015-12-29,25, 28, 24, 24
2016-02-27,26, 23, 21, 19
2016-01-26,24, 27, 26, 25
2016-01-06,21, 18, 20, 31
2016-02-28,23, 21, 25, 29
2016-03-04,40, 19, 25, 28
2016-03-06,30, 17, 22, 34
2016-01-22,20, 24, 23, 14
2016-03-12,24, 22, 25, 26
2016-01-11,25, 29, 23, 26
2016-02-24,30, 25, 28, 29
2016-01-13,25, 27, 17, 21
2016-02-07,19, 26, 20, 28
2016-01-08,21, 32, 24, 26
2016-03-03,29, 28, 27, 24
2016-01-25,18, 31, 12, 28
2016-03-01,36, 29, 30, 34
2016-03-11,23, 31, 30, 34
2016-01-04,19, 25, 22, 29
2016-02-22,15, 26, 29, 18
2016-01-19,18, 21, 18, 22
2016-01-29,33, 22, 26, 26
2016-03-09,22, 32, 31, 23
2016-01-01,22, 36, 22, 26
2016-02-03,21, 26, 27, 19
2016-02-02,31, 24, 25, 22
2016-02-09,24, 23, 28, 26
2016-01-31,27, 20, 28, 30
2016-02-19,22, 30, 27, 36
2016-02-05,25, 22, 20, 31
2016-01-03,25, 25, 23, 24
2016-01-09,29, 20, 19, 15
2016-01-15,20, 26, 30, 22
2016-01-17,18, 24, 16, 16
2016-01-20,22, 15, 27, 23
2016-02-20,30, 29, 23, 32
