Date,Q1,Q2,Q3,Q4
2015-11-19,22, 19, 28, 26
2015-11-18,30, 36, 29, 22
2015-10-31,24, 22, 27, 20
2015-11-21,27, 18, 12, 25
2015-12-13,26, 25, 21, 39
2015-12-20,24, 28, 31, 19
2015-12-15,14, 30, 23, 29
2015-12-18,25, 32, 24, 27
2015-11-05,21, 32, 17, 16
2015-12-02,23, 31, 25, 29
2015-12-31,31, 21, 19, 25
2015-11-07,21, 23, 28, 23
2015-11-25,26, 23, 30, 19
2015-11-28,25, 28, 21, 30
2015-11-04,22, 21, 26, 18
2015-10-29,24, 33, 26, 17
2015-11-01,17, 27, 24, 29
2015-11-08,21, 23, 22, 27
2015-11-11,15, 26, 28, 16
2015-11-14,30, 19, 19, 17
2015-11-16,19, 19, 26, 27
2015-11-22,28, 24, 18, 30
2015-11-26,26, 25, 21, 31
2015-11-29,23, 23, 26, 31
2015-12-03,31, 33, 14, 27
2015-12-05,25, 29, 26, 29
2015-12-07,21, 25, 25, 31
2015-12-09,31, 21, 26, 23
2015-12-17,25, 16, 29, 27
2015-12-23,30, 26, 24, 21
2015-12-26,24, 34, 23, 26
2015-12-27,10, 27, 26, 22
2015-12-29,25, 24, 19, 15
2016-02-09,26, 27, 40, 19
2016-02-25,25, 27, 21, 34
2016-03-13,27, 23, 28, 31
2016-01-10,24, 17, 19, 28
2016-02-22,29, 25, 36, 18
2016-02-01,32, 24, 18, 30
2016-01-05,28, 33, 28, 17
2016-01-12,20, 26, 28, 32
2016-03-07,16, 24, 29, 21
2016-02-27,24, 25, 24, 18
2016-03-02,22, 17, 24, 36
2016-01-02,15, 29, 28, 23
2016-01-04,30, 19, 26, 23
2016-01-08,28, 27, 24, 17
2016-01-13,18, 25, 31, 27
2016-01-15,22, 24, 27, 22
2016-01-16,19, 33, 32, 21
2016-01-19,19, 30, 26, 16
2016-01-22,28, 17, 21, 32
2016-01-23,23, 28, 23, 25
2016-01-26,23, 30, 29, 25
2016-01-28,27, 14, 21, 21
2016-01-29,28, 20, 35, 20
2016-02-02,19, 30, 24, 22
2016-02-05,19, 25, 16, 21
2016-02-11,18, 37, 14, 30
2016-02-19,25, 27, 26, 17
2016-02-20,31, 23, 21, 19
2016-03-04,29, 33, 36, 18
2016-03-06,12, 36, 31, 17
2016-03-09,29, 28, 23, 34
2016-03-12,33, 22, 22, 26
