Date,Q1,Q2,Q3,Q4
2015-12-19,24, 24, 29, 21
2015-11-05,24, 23, 25, 26
2015-11-19,27, 37, 29, 22
2015-12-03,13, 21, 22, 21
2015-12-08,20, 19, 24, 23
2015-12-27,23, 25, 19, 30
2015-12-01,34, 16, 18, 33
2015-11-28,23, 31, 39, 27
2015-12-14,19, 25, 25, 25
2015-11-22,24, 28, 25, 24
2015-11-01,25, 24, 32, 24
2015-12-23,26, 30, 23, 25
2015-10-30,21, 24, 30, 22
2015-12-21,17, 21, 30, 28
2015-11-26,24, 23, 23, 16
2015-11-15,22, 22, 38, 35
2015-11-12,26, 23, 21, 31
2015-12-05,24, 33, 17, 31
2015-10-29,27, 20, 27, 27
2015-11-14,19, 25, 28, 19
2015-11-21,26, 22, 14, 30
2015-12-06,23, 28, 25, 25
2015-11-08,13, 28, 28, 23
2015-11-07,27, 25, 25, 17
2015-12-16,16, 20, 33, 26
2015-12-26,27, 20, 27, 28
2015-11-30,26, 14, 21, 32
2015-12-10,20, 24, 22, 24
2015-12-12,21, 28, 28, 15
2015-12-30,27, 17, 28, 22
2016-02-22,31, 28, 34, 31
2016-03-05,37, 31, 29, 35
2016-02-20,16, 32, 13, 34
2016-01-04,25, 25, 29, 20
2016-02-10,26, 29, 33, 29
2016-02-24,28, 30, 28, 19
2016-02-03,27, 26, 23, 32
2016-02-02,26, 26, 29, 34
2016-01-17,24, 34, 25, 34
2016-02-06,26, 23, 35, 28
2016-01-08,27, 19, 30, 23
2016-01-25,29, 26, 18, 34
2016-01-02,28, 19, 23, 15
2016-03-04,35, 21, 25, 20
2016-01-10,22, 20, 13, 32
2016-01-20,33, 16, 18, 22
2016-02-28,24, 30, 20, 27
2016-01-13,24, 26, 27, 27
2016-01-23,20, 37, 27, 22
2016-02-19,27, 21, 33, 23
2016-01-19,38, 22, 15, 24
2016-02-08,22, 24, 24, 32
2016-02-27,25, 20, 31, 36
2016-03-08,24, 23, 21, 23
2016-03-07,18, 31, 26, 28
2016-03-02,32, 22, 23, 21
2016-01-06,25, 19, 21, 9
2016-01-12,21, 27, 18, 30
2016-01-15,17, 26, 22, 28
2016-01-27,28, 36, 30, 29
2016-01-29,29, 26, 14, 21
2016-01-31,21, 18, 26, 28
2016-03-11,24, 26, 19, 30
