Date,Q1,Q2,Q3,Q4
2015-12-09,28, 26, 23, 27
2015-12-04,28, 12, 26, 19
2015-12-14,31, 20, 38, 22
2015-12-06,18, 36, 24, 22
2015-11-12,23, 28, 34, 24
2015-12-07,22, 28, 29, 25
2015-12-30,31, 24, 26, 29
2015-11-18,20, 25, 31, 30
2015-11-25,16, 33, 21, 19
2015-12-27,25, 20, 26, 29
2015-11-10,28, 28, 23, 32
2015-12-12,33, 31, 25, 30
2015-12-23,26, 14, 21, 23
2015-11-01,26, 26, 37, 15
2015-12-10,15, 36, 27, 29
2015-12-18,21, 25, 19, 34
2015-11-03,13, 20, 23, 25
2015-10-28,24, 24, 30, 23
2015-11-04,26, 21, 26, 27
2015-11-08,30, 25, 26, 19
2015-11-14,43, 37, 38, 21
2015-11-17,21, 28, 31, 13
2015-11-21,26, 23, 24, 24
2015-11-22,25, 32, 20, 29
2015-11-28,15, 13, 23, 40
2015-11-29,18, 18, 21, 23
2015-12-02,29, 40, 16, 27
2015-12-16,20, 33, 25, 41
2015-12-20,17, 27, 18, 26
2015-12-21,25, 28, 23, 25
2015-12-26,20, 28, 22, 27
2015-12-31,14, 14, 32, 24
2016-01-30,16, 28, 27, 34
2016-02-19,37, 34, 21, 29
2016-01-10,24, 25, 27, 25
2016-01-12,22, 19, 30, 20
2016-02-04,28, 20, 21, 27
2016-01-13,28, 31, 31, 19
2016-01-28,37, 26, 29, 22
2016-03-07,33, 17, 33, 32
2016-02-06,20, 23, 27, 14
2016-01-21,35, 37, 18, 25
2016-02-21,28, 27, 25, 31
2016-01-08,30, 13, 27, 16
2016-01-23,22, 30, 32, 32
2016-03-12,28, 24, 19, 21
2016-01-02,26, 22, 26, 31
2016-01-06,24, 26, 18, 23
2016-01-25,29, 31, 32, 19
2016-03-02,28, 24, 24, 19
2016-01-18,26, 25, 25, 23
2016-02-01,27, 25, 23, 20
2016-03-11,24, 23, 19, 33
2016-01-15,32, 25, 27, 25
2016-01-19,25, 26, 31, 32
2016-02-03,27, 18, 34, 18
2016-02-08,28, 35, 32, 21
2016-02-10,20, 27, 24, 29
2016-02-11,25, 28, 21, 21
2016-02-23,19, 32, 14, 24
2016-02-25,35, 26, 28, 34
2016-02-27,26, 30, 30, 24
2016-03-03,26, 20, 22, 18
2016-03-05,20, 25, 25, 24
2016-03-09,28, 32, 30, 23
