Date,Q1,Q2,Q3,Q4
2015-12-12,26, 25, 24, 26
2015-11-07,20, 22, 26, 31
2015-12-02,18, 27, 19, 29
2015-10-29,20, 23, 17, 20
2015-10-30,18, 24, 25, 28
2015-11-02,29, 23, 27, 17
2015-11-04,23, 22, 15, 23
2015-11-05,20, 17, 22, 36
2015-11-08,32, 29, 13, 22
2015-11-10,16, 22, 21, 26
2015-11-12,27, 23, 26, 19
2015-11-14,23, 24, 25, 28
2015-11-16,31, 31, 24, 23
2015-11-18,30, 19, 31, 33
2015-11-19,25, 26, 22, 26
2015-11-22,25, 21, 25, 20
2015-11-24,26, 20, 23, 17
2015-11-26,24, 18, 31, 22
2015-11-28,13, 20, 17, 28
2015-11-30,17, 17, 25, 20
2015-12-04,24, 29, 20, 14
2015-12-05,21, 24, 24, 33
2015-12-07,20, 30, 25, 24
2015-12-09,27, 25, 21, 20
2015-12-10,26, 26, 21, 22
2015-12-14,27, 19, 21, 19
2015-12-16,24, 20, 24, 19
2015-12-18,20, 25, 29, 23
2015-12-20,21, 26, 21, 22
2015-12-21,25, 26, 24, 33
2015-12-25,23, 21, 26, 21
2015-12-27,27, 31, 22, 37
2015-12-28,22, 19, 17, 21
2015-12-31,21, 19, 18, 20
2016-01-12,36, 23, 26, 35
2016-02-02,22, 25, 18, 24
2016-03-04,31, 27, 29, 17
2016-01-13,20, 31, 24, 29
2016-02-19,32, 20, 24, 22
2016-01-01,18, 32, 23, 8
2016-01-03,22, 33, 31, 25
2016-01-05,29, 25, 30, 23
2016-01-06,22, 25, 24, 27
2016-01-08,30, 19, 25, 25
2016-01-10,24, 27, 31, 18
2016-01-16,31, 23, 19, 22
2016-01-18,29, 23, 24, 20
2016-01-20,17, 20, 31, 31
2016-01-22,24, 21, 19, 24
2016-01-23,22, 21, 13, 28
2016-01-26,34, 29, 28, 22
2016-01-28,21, 22, 20, 30
2016-01-29,26, 32, 27, 17
2016-01-31,20, 29, 16, 30
2016-02-04,15, 21, 35, 34
2016-02-05,18, 22, 22, 23
2016-02-07,20, 29, 30, 17
2016-02-09,21, 29, 33, 25
2016-02-20,31, 28, 22, 22
2016-02-22,28, 15, 25, 27
2016-02-24,26, 28, 26, 25
2016-02-26,32, 30, 20, 26
2016-02-28,19, 20, 26, 16
2016-03-01,25, 25, 22, 13
2016-03-05,22, 35, 22, 23
2016-03-08,25, 24, 19, 26
2016-03-09,29, 34, 25, 40
2016-03-11,22, 28, 24, 20
2016-03-13,18, 28, 19, 25
