Date,Q1,Q2,Q3,Q4
2015-12-17,28, 25, 20, 19
2015-12-23,26, 27, 32, 15
2015-11-09,23, 29, 25, 19
2015-11-12,31, 25, 18, 23
2015-11-05,26, 26, 23, 16
2015-12-21,20, 22, 18, 28
2015-11-01,26, 26, 26, 17
2015-11-11,32, 28, 23, 17
2015-12-15,25, 27, 13, 17
2015-11-26,27, 25, 13, 31
2015-12-02,25, 21, 29, 22
2015-11-19,23, 25, 20, 22
2015-12-03,23, 21, 18, 24
2015-11-30,27, 25, 17, 24
2015-12-06,27, 25, 25, 28
2015-11-04,28, 24, 17, 21
2015-11-24,16, 22, 20, 16
2015-12-26,32, 21, 22, 14
2015-11-17,28, 21, 29, 29
2015-12-30,21, 26, 23, 16
2015-11-28,20, 25, 14, 24
2015-11-14,25, 27, 28, 21
2015-10-28,25, 16, 23, 20
2015-12-12,26, 14, 24, 17
2015-12-13,18, 29, 25, 28
2015-11-21,26, 14, 24, 41
2015-12-27,22, 30, 29, 21
2015-11-22,18, 28, 21, 25
2015-12-29,26, 24, 27, 25
2015-10-30,23, 28, 15, 32
2015-11-07,26, 21, 27, 20
2015-11-15,17, 21, 24, 31
2015-12-05,24, 29, 18, 27
2015-12-10,21, 23, 31, 14
2015-12-19,17, 26, 23, 28
2016-01-29,22, 28, 27, 17
2016-01-31,24, 23, 34, 38
2016-01-08,26, 11, 23, 23
2016-02-26,23, 21, 25, 26
2016-01-20,21, 25, 25, 16
2016-02-23,33, 34, 30, 27
2016-02-28,40, 37, 25, 28
2016-01-14,18, 36, 19, 23
2016-02-25,30, 33, 28, 23
2016-03-07,18, 28, 31, 36
2016-02-05,20, 24, 29, 20
2016-03-08,26, 25, 26, 21
2016-03-04,29, 21, 16, 18
2016-03-11,27, 23, 30, 27
2016-03-02,33, 27, 24, 18
2016-01-02,13, 19, 21, 26
2016-01-04,23, 24, 27, 15
2016-01-06,20, 18, 21, 27
2016-02-21,22, 25, 32, 23
2016-01-26,30, 26, 22, 22
2016-02-19,31, 25, 16, 26
2016-03-01,27, 34, 20, 27
2016-01-25,33, 32, 16, 19
2016-02-01,24, 20, 26, 22
2016-02-10,23, 28, 28, 17
2016-01-18,17, 21, 21, 22
2016-02-07,30, 18, 23, 25
2016-02-08,18, 23, 31, 29
2016-01-22,35, 26, 33, 15
2016-01-01,21, 22, 29, 19
2016-01-09,17, 32, 21, 29
2016-02-03,32, 33, 29, 20
2016-03-12,24, 18, 23, 19
