Date,Q1,Q2,Q3,Q4
2015-11-19,27, 19, 22, 22
2015-12-15,25, 13, 26, 23
2015-11-26,19, 22, 26, 24
2015-12-12,18, 27, 15, 10
2015-11-22,13, 26, 15, 29
2015-10-29,24, 27, 22, 18
2015-10-31,24, 23, 27, 7
2015-11-01,30, 24, 29, 13
2015-11-03,19, 35, 20, 19
2015-11-05,28, 24, 23, 14
2015-11-07,28, 29, 19, 39
2015-11-09,20, 25, 18, 25
2015-11-13,10, 19, 24, 17
2015-11-14,28, 19, 21, 19
2015-11-17,13, 21, 23, 18
2015-11-21,27, 17, 23, 29
2015-11-24,20, 32, 28, 24
2015-11-29,26, 25, 35, 17
2015-12-01,20, 26, 27, 30
2015-12-03,23, 9, 25, 28
2015-12-05,24, 23, 20, 24
2015-12-06,30, 24, 23, 23
2015-12-10,21, 17, 20, 21
2015-12-13,28, 22, 30, 29
2015-12-19,26, 20, 26, 19
2015-12-21,23, 14, 27, 32
2015-12-23,19, 23, 31, 18
2015-12-26,24, 27, 23, 19
2015-12-27,12, 20, 23, 16
2015-12-30,17, 17, 29, 23
2016-01-24,25, 18, 26, 23
2016-02-06,24, 17, 28, 34
2016-03-11,27, 26, 19, 23
2016-01-18,29, 18, 16, 33
2016-01-01,21, 20, 19, 24
2016-01-02,29, 23, 22, 25
2016-01-04,29, 18, 33, 29
2016-01-07,21, 23, 32, 22
2016-01-09,26, 18, 25, 26
2016-01-10,20, 27, 22, 16
2016-01-14,34, 28, 17, 25
2016-01-16,29, 39, 22, 24
2016-01-20,23, 24, 34, 15
2016-01-26,31, 23, 30, 29
2016-01-27,20, 25, 34, 18
2016-01-30,28, 26, 18, 33
2016-02-03,17, 25, 20, 24
2016-02-05,18, 29, 25, 22
2016-02-08,25, 34, 14, 15
2016-02-10,30, 33, 24, 23
2016-02-19,26, 29, 35, 24
2016-02-21,30, 24, 26, 23
2016-02-23,31, 31, 31, 22
2016-02-24,20, 22, 19, 30
2016-02-26,26, 26, 20, 22
2016-02-28,26, 25, 36, 29
2016-03-02,29, 21, 24, 25
2016-03-04,29, 20, 28, 25
2016-03-06,25, 24, 20, 29
2016-03-09,27, 25, 27, 25
2016-03-12,32, 25, 30, 24
