Date,Q1,Q2,Q3,Q4
2015-11-17,33, 27, 29, 29
2015-11-12,17, 32, 29, 34
2015-12-20,24, 20, 23, 32
2015-11-21,26, 41, 25, 30
2015-11-24,26, 22, 18, 34
2015-11-09,28, 19, 24, 36
2015-11-15,23, 31, 20, 33
2015-12-08,28, 29, 23, 32
2015-10-29,33, 26, 39, 21
2015-11-04,26, 32, 21, 33
2015-12-28,26, 29, 33, 28
2015-10-31,11, 25, 31, 27
2015-11-01,22, 33, 20, 16
2015-11-05,27, 25, 19, 20
2015-11-07,36, 22, 30, 11
2015-11-14,28, 19, 28, 20
2015-11-19,21, 23, 21, 23
2015-11-22,30, 25, 25, 26
2015-11-26,34, 30, 29, 27
2015-11-28,22, 25, 23, 27
2015-11-30,23, 16, 19, 32
2015-12-02,26, 28, 29, 33
2015-12-05,40, 29, 24, 25
2015-12-06,18, 23, 26, 28
2015-12-09,25, 26, 21, 25
2015-12-12,28, 24, 24, 27
2015-12-14,29, 19, 16, 24
2015-12-15,26, 27, 19, 22
2015-12-17,27, 27, 29, 28
2015-12-21,22, 28, 29, 25
2015-12-23,25, 28, 36, 35
2015-12-26,28, 31, 35, 21
2015-12-30,25, 28, 26, 27
2015-12-31,29, 33, 32, 34
2016-01-15,29, 18, 31, 25
2016-02-25,29, 16, 26, 35
2016-01-29,16, 24, 21, 23
2016-03-09,19, 24, 32, 22
2016-01-26,24, 21, 26, 32
2016-02-02,32, 13, 26, 26
2016-02-10,28, 15, 32, 29
2016-03-12,24, 32, 39, 21
2016-02-22,17, 25, 19, 23
2016-01-03,10, 12, 29, 26
2016-01-02,18, 35, 34, 32
2016-01-06,34, 26, 26, 25
2016-01-08,20, 20, 33, 22
2016-01-12,19, 23, 34, 21
2016-01-17,23, 25, 21, 18
2016-01-19,17, 18, 26, 33
2016-01-21,18, 21, 30, 20
2016-01-23,29, 19, 26, 24
2016-01-27,26, 24, 21, 22
2016-01-31,23, 22, 24, 9
2016-02-04,28, 31, 21, 25
2016-02-06,12, 23, 23, 31
2016-02-08,19, 38, 28, 21
2016-02-19,24, 21, 20, 35
2016-02-21,21, 29, 32, 29
2016-02-27,25, 29, 32, 25
2016-03-01,18, 24, 19, 31
2016-03-03,21, 22, 25, 24
2016-03-04,29, 29, 26, 18
2016-03-06,24, 29, 32, 24
2016-03-10,18, 23, 33, 24
