Date,Q1,Q2,Q3,Q4
2015-11-23,21, 23, 28, 22
2015-11-15,24, 26, 30, 17
2015-12-07,25, 28, 30, 20
2015-12-28,31, 24, 21, 25
2015-11-24,24, 26, 39, 25
2015-12-26,27, 34, 27, 26
2015-12-30,23, 15, 25, 24
2015-11-02,22, 26, 20, 22
2015-11-08,38, 24, 17, 23
2015-10-31,24, 24, 23, 23
2015-11-21,32, 29, 28, 16
2015-12-12,18, 23, 17, 28
2015-11-04,31, 24, 21, 25
2015-12-09,33, 22, 21, 22
2015-12-04,16, 22, 24, 26
2015-12-13,22, 36, 24, 13
2015-12-17,18, 25, 25, 36
2015-11-06,20, 26, 35, 27
2015-12-22,33, 20, 23, 19
2015-11-28,25, 18, 27, 29
2015-11-17,22, 20, 26, 34
2015-12-20,32, 30, 32, 20
2015-12-15,23, 25, 28, 32
2015-12-19,17, 27, 25, 28
2015-11-11,21, 30, 24, 27
2015-11-26,28, 17, 34, 26
2015-11-09,36, 28, 21, 31
2015-11-12,39, 45, 27, 19
2015-12-02,23, 27, 28, 27
2015-11-30,22, 26, 27, 32
2015-12-10,16, 20, 15, 31
2015-10-29,29, 20, 26, 31
2015-12-23,19, 35, 19, 25
2016-03-02,33, 22, 12, 26
2016-01-15,22, 34, 27, 33
2016-02-23,34, 29, 22, 27
2016-03-01,27, 31, 27, 19
2016-01-16,17, 26, 19, 27
2016-02-04,25, 26, 24, 28
2016-03-04,30, 22, 25, 38
2016-01-08,21, 31, 35, 21
2016-02-19,42, 26, 36, 33
2016-03-11,27, 34, 25, 26
2016-01-06,18, 22, 30, 28
2016-01-23,37, 25, 39, 20
2016-01-26,33, 25, 30, 24
2016-02-27,21, 30, 28, 24
2016-03-06,16, 35, 24, 28
2016-02-28,39, 26, 22, 24
2016-02-02,27, 29, 23, 28
2016-02-06,29, 26, 19, 22
2016-02-10,29, 28, 35, 24
2016-02-25,34, 30, 29, 12
2016-01-04,15, 19, 18, 26
2016-02-08,25, 26, 27, 24
2016-01-20,18, 25, 29, 26
2016-01-29,21, 29, 33, 26
2016-03-12,31, 32, 27, 31
2016-01-18,32, 27, 35, 14
2016-03-08,29, 25, 31, 19
2016-01-03,23, 38, 19, 32
2016-01-31,21, 27, 15, 33
2016-01-10,26, 26, 28, 35
2016-01-13,18, 25, 34, 22
2016-02-21,18, 29, 33, 35
