Date,Q1,Q2,Q3,Q4
2015-12-31,19, 20, 22, 23
2015-12-29,28, 16, 25, 30
2015-12-27,38, 29, 22, 28
2015-12-02,22, 33, 28, 26
2015-10-29,23, 26, 14, 14
2015-12-22,20, 30, 26, 32
2015-11-02,25, 20, 25, 28
2015-12-09,29, 26, 26, 14
2015-12-21,26, 26, 29, 27
2015-11-07,25, 30, 22, 22
2015-12-26,21, 35, 34, 16
2015-10-31,26, 22, 23, 32
2015-11-03,19, 32, 28, 31
2015-11-05,40, 28, 37, 26
2015-11-09,17, 22, 26, 28
2015-11-11,32, 25, 15, 26
2015-11-13,38, 24, 29, 19
2015-11-15,23, 22, 25, 24
2015-11-18,27, 27, 15, 31
2015-11-20,22, 30, 28, 23
2015-11-22,21, 27, 36, 29
2015-11-25,27, 22, 26, 24
2015-11-26,19, 31, 23, 16
2015-11-28,22, 29, 29, 24
2015-11-30,20, 22, 23, 20
2015-12-05,34, 22, 24, 16
2015-12-06,27, 22, 17, 30
2015-12-08,23, 32, 13, 33
2015-12-11,26, 20, 23, 26
2015-12-13,24, 22, 14, 30
2015-12-16,20, 34, 17, 21
2015-12-18,29, 25, 27, 26
2016-02-07,37, 21, 29, 32
2016-02-05,25, 36, 24, 34
2016-02-10,24, 24, 27, 39
2016-01-09,27, 31, 26, 32
2016-01-16,30, 34, 18, 28
2016-02-26,30, 37, 16, 24
2016-01-07,38, 31, 33, 16
2016-01-20,28, 29, 29, 26
2016-01-02,31, 28, 44, 39
2016-01-04,31, 37, 22, 26
2016-01-05,24, 19, 27, 28
2016-01-13,19, 25, 21, 32
2016-01-14,26, 30, 26, 21
2016-01-21,27, 20, 25, 19
2016-01-23,31, 19, 31, 27
2016-01-25,31, 25, 28, 31
2016-01-26,29, 23, 22, 23
2016-01-28,19, 34, 26, 26
2016-01-30,22, 29, 26, 40
2016-02-01,25, 28, 21, 37
2016-02-03,25, 32, 18, 27
2016-02-08,23, 22, 25, 30
2016-02-19,31, 39, 18, 28
2016-02-23,28, 33, 30, 23
2016-02-24,24, 14, 32, 22
2016-03-02,28, 15, 35, 20
2016-03-03,19, 31, 23, 31
2016-03-05,22, 32, 13, 27
2016-03-07,31, 32, 26, 23
2016-03-09,25, 35, 24, 27
2016-03-11,21, 28, 26, 25
2016-03-13,18, 27, 24, 30
