Date,Q1,Q2,Q3,Q4
2015-11-30,25, 20, 33, 33
2015-11-22,25, 26, 28, 20
2015-12-03,19, 23, 16, 30
2015-12-10,29, 27, 38, 15
2015-11-17,30, 16, 27, 27
2015-12-01,27, 34, 23, 25
2015-11-11,29, 21, 32, 31
2015-11-10,14, 25, 25, 25
2015-12-22,35, 37, 23, 30
2015-11-14,29, 18, 21, 25
2015-12-12,25, 25, 25, 26
2015-10-31,24, 21, 26, 18
2015-11-15,24, 14, 28, 25
2015-11-28,26, 35, 27, 24
2015-11-19,23, 21, 28, 20
2015-11-26,25, 25, 27, 29
2015-10-28,26, 19, 31, 25
2015-12-20,25, 22, 30, 16
2015-11-06,15, 14, 26, 26
2015-12-28,28, 28, 29, 25
2015-12-05,25, 33, 20, 29
2015-12-17,19, 26, 23, 24
2015-12-30,20, 18, 25, 24
2015-11-08,23, 30, 18, 28
2015-12-26,24, 20, 20, 26
2015-12-31,17, 21, 24, 22
2015-11-05,27, 22, 19, 26
2015-11-21,29, 30, 32, 30
2015-12-06,31, 37, 28, 27
2015-12-09,22, 21, 29, 24
2015-12-14,20, 25, 26, 28
2015-12-15,20, 23, 25, 27
2015-12-19,20, 26, 28, 23
2015-12-25,27, 20, 30, 29
2016-01-11,22, 23, 32, 29
2016-01-08,26, 26, 27, 21
2016-01-25,23, 24, 19, 24
2016-02-18,15, 19, 29, 23
2016-01-22,31, 25, 31, 21
2016-02-06,29, 25, 25, 27
2016-02-19,33, 27, 25, 34
2016-01-21,25, 26, 28, 38
2016-02-21,30, 30, 28, 30
2016-02-24,25, 24, 27, 32
2016-03-05,29, 28, 29, 18
2016-03-10,27, 27, 30, 25
2016-01-14,20, 24, 28, 27
2016-01-30,30, 19, 27, 27
2016-01-12,24, 29, 28, 28
2016-03-02,28, 24, 27, 18
2016-03-07,13, 19, 30, 29
2016-01-04,29, 31, 30, 33
2016-01-17,14, 32, 32, 34
2016-02-05,27, 35, 26, 28
2016-01-02,29, 31, 36, 25
2016-01-27,35, 34, 33, 28
2016-02-27,26, 25, 25, 28
2016-02-03,30, 23, 30, 27
2016-03-03,22, 23, 23, 26
2016-01-06,32, 36, 27, 28
2016-02-01,35, 17, 23, 32
2016-02-09,20, 34, 31, 34
2016-02-10,29, 21, 17, 31
2016-02-25,18, 21, 26, 31
2016-03-08,27, 32, 34, 23
2016-03-12,25, 20, 21, 27
