Date,Q1,Q2,Q3,Q4
2015-11-05,23, 31, 34, 22
2015-12-17,22, 31, 23, 29
2015-12-14,27, 18, 27, 14
2015-12-21,33, 25, 33, 27
2015-11-09,33, 27, 28, 32
2015-10-29,24, 36, 26, 23
2015-11-01,29, 20, 38, 21
2015-11-02,26, 28, 23, 25
2015-11-04,23, 28, 22, 27
2015-11-07,28, 31, 23, 21
2015-11-11,24, 27, 21, 32
2015-11-13,24, 28, 14, 27
2015-11-15,23, 23, 30, 35
2015-11-19,22, 20, 27, 27
2015-11-21,37, 34, 30, 23
2015-11-22,21, 35, 29, 25
2015-11-24,29, 25, 27, 23
2015-11-26,34, 30, 27, 35
2015-11-28,21, 22, 21, 38
2015-11-30,24, 25, 31, 29
2015-12-02,31, 26, 35, 25
2015-12-03,31, 38, 28, 26
2015-12-05,21, 23, 20, 27
2015-12-08,35, 27, 20, 20
2015-12-09,33, 30, 25, 13
2015-12-12,28, 25, 27, 26
2015-12-15,28, 16, 27, 24
2015-12-19,26, 26, 29, 29
2015-12-22,33, 33, 17, 37
2015-12-27,22, 27, 31, 30
2015-12-28,27, 33, 28, 28
2015-12-30,23, 22, 25, 17
2016-01-20,35, 21, 40, 19
2016-01-06,24, 21, 25, 21
2016-01-18,19, 33, 29, 31
2016-03-08,28, 14, 36, 26
2016-01-28,27, 26, 20, 30
2016-02-22,26, 31, 29, 36
2016-01-09,25, 32, 18, 33
2016-01-01,29, 26, 19, 30
2016-01-03,26, 34, 27, 26
2016-01-04,29, 27, 22, 22
2016-01-08,18, 29, 26, 24
2016-01-14,31, 30, 16, 19
2016-01-22,31, 29, 20, 21
2016-01-24,27, 35, 21, 29
2016-01-26,24, 29, 24, 29
2016-01-30,26, 29, 26, 30
2016-02-01,28, 21, 16, 28
2016-02-02,28, 24, 26, 26
2016-02-04,37, 22, 23, 28
2016-02-08,19, 30, 21, 33
2016-02-10,32, 36, 21, 23
2016-02-19,35, 23, 23, 25
2016-02-21,22, 24, 28, 24
2016-02-24,37, 24, 26, 27
2016-02-26,21, 24, 23, 31
2016-02-28,25, 27, 20, 29
2016-03-02,24, 28, 33, 19
2016-03-04,31, 27, 32, 27
2016-03-06,30, 31, 24, 22
2016-03-10,20, 32, 30, 22
2016-03-12,28, 25, 17, 27
