Date,Q1,Q2,Q3,Q4
2015-11-14,31, 17, 27, 27
2015-12-27,25, 19, 15, 29
2015-11-15,25, 24, 23, 21
2015-12-03,24, 29, 29, 22
2015-11-21,13, 19, 25, 31
2015-11-03,20, 23, 27, 31
2015-11-29,18, 32, 26, 20
2015-12-29,18, 26, 33, 20
2015-11-01,33, 26, 30, 29
2015-12-08,31, 18, 19, 24
2015-11-24,14, 27, 36, 18
2015-11-05,32, 27, 17, 26
2015-11-09,27, 25, 22, 23
2015-11-10,20, 21, 28, 17
2015-10-30,20, 24, 29, 29
2015-11-07,17, 27, 18, 20
2015-10-29,27, 23, 22, 21
2015-12-22,19, 25, 26, 27
2015-11-22,23, 17, 32, 22
2015-12-16,26, 30, 33, 22
2015-12-09,21, 23, 34, 22
2015-11-12,32, 22, 34, 9
2015-12-20,23, 16, 24, 23
2015-12-12,24, 23, 27, 21
2015-12-17,33, 22, 22, 28
2015-12-05,21, 20, 23, 29
2015-12-19,29, 20, 32, 20
2015-12-14,24, 18, 16, 26
2015-12-01,23, 20, 34, 24
2015-12-30,21, 24, 27, 28
2015-11-18,14, 26, 32, 26
2015-11-26,29, 19, 14, 20
2016-02-19,26, 28, 29, 28
2016-01-22,22, 26, 37, 23
2016-02-27,22, 21, 18, 35
2016-01-20,22, 26, 28, 23
2016-03-02,26, 23, 25, 20
2016-03-09,21, 20, 22, 31
2016-01-10,15, 28, 18, 25
2016-01-16,32, 28, 29, 20
2016-02-06,31, 22, 18, 27
2016-01-14,12, 33, 26, 30
2016-03-13,36, 25, 23, 24
2016-02-01,26, 21, 20, 26
2016-01-25,13, 23, 23, 33
2016-02-05,18, 22, 21, 23
2016-02-09,21, 30, 27, 32
2016-01-04,21, 37, 19, 14
2016-01-07,25, 19, 22, 28
2016-02-23,34, 22, 23, 27
2016-01-02,28, 18, 20, 18
2016-03-04,28, 11, 33, 16
2016-02-10,22, 23, 32, 19
2016-03-05,29, 22, 33, 22
2016-01-06,22, 29, 23, 24
2016-02-25,23, 12, 22, 21
2016-03-08,27, 15, 15, 27
2016-01-18,28, 15, 21, 31
2016-01-27,18, 25, 27, 32
2016-01-09,19, 26, 27, 26
2016-02-18,23, 19, 26, 21
2016-03-11,32, 24, 32, 26
2016-02-03,21, 19, 21, 24
2016-01-29,27, 29, 26, 21
2016-01-13,19, 18, 25, 23
2016-02-21,25, 27, 30, 29
