Date,Q1,Q2,Q3,Q4
2015-12-07,15, 21, 23, 34
2015-12-08,30, 28, 34, 18
2015-12-27,30, 26, 24, 21
2015-11-04,17, 23, 32, 26
2015-12-25,34, 26, 24, 18
2015-11-07,18, 17, 23, 26
2015-12-12,30, 27, 23, 24
2015-12-03,27, 27, 24, 33
2015-12-21,23, 27, 21, 21
2015-12-23,20, 20, 25, 26
2015-11-21,26, 29, 25, 11
2015-11-26,18, 28, 21, 20
2015-11-12,24, 33, 25, 25
2015-11-05,24, 22, 20, 18
2015-11-08,32, 22, 19, 24
2015-11-01,29, 20, 34, 25
2015-11-22,21, 26, 27, 37
2015-11-19,29, 24, 20, 29
2015-12-30,24, 21, 19, 23
2015-12-29,24, 22, 32, 26
2015-11-29,23, 17, 25, 18
2015-11-25,19, 20, 28, 35
2015-10-29,28, 24, 18, 25
2015-12-01,30, 34, 17, 26
2015-12-19,29, 25, 22, 29
2015-10-30,28, 26, 28, 23
2015-11-15,24, 24, 21, 29
2015-12-10,26, 19, 22, 24
2015-12-05,30, 35, 25, 29
2015-12-14,22, 15, 30, 26
2015-12-16,27, 19, 28, 35
2016-01-16,31, 30, 25, 31
2016-01-25,20, 29, 21, 21
2016-02-09,35, 28, 20, 28
2016-02-05,38, 22, 22, 24
2016-02-26,21, 27, 28, 27
2016-01-08,26, 21, 14, 27
2016-01-26,18, 32, 20, 19
2016-02-03,28, 32, 32, 29
2016-01-11,28, 34, 21, 31
2016-02-24,31, 24, 24, 25
2016-01-06,26, 24, 39, 26
2016-02-28,35, 28, 33, 17
2016-03-04,23, 19, 21, 20
2016-02-19,29, 26, 28, 15
2016-01-15,24, 35, 29, 30
2016-03-05,37, 27, 16, 19
2016-01-13,29, 27, 15, 35
2016-02-11,27, 19, 24, 22
2016-01-30,28, 31, 31, 33
2016-02-23,24, 30, 31, 24
2016-02-06,25, 33, 17, 29
2016-01-03,24, 7, 20, 24
2016-01-20,26, 25, 30, 25
2016-02-20,19, 25, 24, 26
2016-01-01,24, 24, 24, 31
2016-01-09,27, 33, 25, 20
2016-01-18,17, 40, 19, 22
2016-01-28,29, 29, 21, 34
2016-02-01,26, 26, 24, 22
2016-02-18,28, 21, 27, 27
2016-03-02,29, 31, 25, 19
2016-03-08,22, 33, 26, 23
2016-03-11,29, 19, 20, 25
2016-03-12,23, 27, 33, 17
